CLIENT,ALIGNMENT,TERRITORY,Old Territory,OUTLET,,,,,,,,,,,,,
299,M,00000000,00000000,H1N 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1P 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1R 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1S 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1T 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1V 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1W 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1X 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,H1Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2A 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2B 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2C 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2E 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2G 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2H 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2J 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2K 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2L 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2M 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2N 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2P 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2R 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2S 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2T 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2V 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2W 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2X 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,H2Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3A 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3B 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3C 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3E 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3G 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3H 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3J 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3K 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3L 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3M 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3N 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3P 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3R 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3S 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3T 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3V 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3W 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3X 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,H3Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,H4A 000,,,,,,,,,,,,,
299,M,00000000,00000000,H4B 000,,,,,,,,,,,,,
299,M,00000000,00000000,H4C 000,,,,,,,,,,,,,
299,M,00000000,00000000,H4E 000,,,,,,,,,,,,,
299,M,00000000,00000000,H4G 000,,,,,,,,,,,,,
299,M,00000000,00000000,H4H 000,,,,,,,,,,,,,
299,M,00000000,00000000,H4J 000,,,,,,,,,,,,,
299,M,00000000,00000000,H4K 000,,,,,,,,,,,,,
